,sl_no,country,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_critical_cases,total_cases_per_1m_pop,total_deaths_per_1m_pop,total_tests,total_tests_per_1m_pop,population
0,,North America,5359473,"+6,261",214740.0,531.0,2747302.0,5870.0,2397431,26093.0,,,,
1,,South America,3952480,"+1,207",139781.0,88.0,2692664.0,535.0,1120035,14274.0,,,,
2,,Asia,4130442,"+3,348",94073.0,49.0,3002028.0,4192.0,1034341,19740.0,,,,
3,,Europe,2833461,+673,202526.0,3.0,1702083.0,15.0,928852,5119.0,,,,
4,,Africa,895157,,18908.0,,544168.0,,332081,1120.0,,,,
5,,Oceania,18032,+717,213.0,13.0,12246.0,1000.0,5573,39.0,,,,
6,,,721,,15.0,,651.0,,55,4.0,,,,
7,,World,17189766,"+12,206",670256.0,684.0,10701142.0,11612.0,5818368,66389.0,2205.0,86.0,,
8,1.0,USA,4568037,,153840.0,,2245044.0,,2169153,18852.0,13794.0,465.0,56684379.0,171171.0
9,2.0,Brazil,2555518,,90188.0,,1787419.0,,677911,8318.0,12016.0,424.0,12601096.0,59250.0
10,3.0,India,1584384,,35003.0,,1021611.0,,527770,8944.0,1147.0,25.0,18190382.0,13171.0
11,4.0,Russia,828990,,13673.0,,620333.0,,194984,2300.0,5680.0,94.0,27569646.0,188911.0
12,5.0,South Africa,471123,,7497.0,,297967.0,,165659,539.0,7936.0,126.0,2873163.0,48398.0
13,6.0,Mexico,408449,"+5,752",45361.0,485.0,267147.0,5690.0,95941,3922.0,3165.0,352.0,953514.0,7389.0
14,7.0,Peru,400683,,18816.0,,280044.0,,101823,1427.0,12140.0,570.0,2293612.0,69490.0
15,8.0,Chile,351575,,9278.0,,324557.0,,17740,1529.0,18379.0,485.0,1580823.0,82640.0
16,9.0,Spain,329721,,28441.0,,0.0,0.0,0,617.0,7052.0,608.0,6678414.0,142835.0
17,10.0,UK,301455,,45961.0,,0.0,0.0,0,94.0,4439.0,677.0,15478728.0,227916.0
18,11.0,Iran,298909,,16343.0,,259116.0,,23450,4027.0,3555.0,194.0,2405862.0,28616.0
19,12.0,Pakistan,277402,"+1,114",5924.0,32.0,246131.0,1248.0,25347,1179.0,1254.0,27.0,1952730.0,8828.0
20,13.0,Colombia,276055,,9454.0,,142777.0,,123824,1493.0,5421.0,186.0,1502809.0,29511.0
21,14.0,Saudi Arabia,272590,,2816.0,,228569.0,,41205,2063.0,7821.0,81.0,3237731.0,92894.0
22,15.0,Italy,246776,,35129.0,,199031.0,,12616,38.0,4082.0,581.0,6690311.0,110667.0
23,16.0,Bangladesh,232194,,3035.0,,130292.0,,98867,1.0,1409.0,18.0,1151258.0,6985.0
24,17.0,Turkey,228924,,5659.0,,212557.0,,10708,1280.0,2712.0,67.0,4711095.0,55813.0
25,18.0,Germany,208811,,9212.0,,192000.0,,7599,261.0,2492.0,110.0,8006135.0,95532.0
26,19.0,France,185196,,30238.0,,81311.0,,73647,385.0,2837.0,463.0,2982302.0,45681.0
27,20.0,Argentina,178996,,3288.0,,77855.0,,97853,1002.0,3958.0,73.0,675011.0,14925.0
28,21.0,Iraq,118300,,4603.0,,83461.0,,30236,433.0,2936.0,114.0,965317.0,23961.0
29,22.0,Canada,115470,,8917.0,,100465.0,,6088,2237.0,3057.0,236.0,3899192.0,103241.0
30,23.0,Qatar,110153,,169.0,,106849.0,,3135,97.0,39231.0,60.0,487435.0,173600.0
31,24.0,Indonesia,104432,,4975.0,,62138.0,,37319,,381.0,18.0,1447583.0,5288.0
32,25.0,Egypt,93356,,4728.0,,37025.0,,51603,41.0,911.0,46.0,135000.0,1317.0
33,26.0,Kazakhstan,87664,"+1,472",793.0,,57815.0,1177.0,29056,221.0,4665.0,42.0,2079540.0,110651.0
34,27.0,Philippines,85486,,1962.0,,26996.0,,56528,351.0,779.0,18.0,1422384.0,12967.0
35,28.0,Ecuador,83193,,5623.0,,35572.0,,41998,350.0,4710.0,318.0,233877.0,13241.0
36,29.0,Sweden,79782,,5730.0,,0.0,0.0,0,43.0,7896.0,567.0,810356.0,80200.0
37,30.0,Oman,78569,,412.0,,60240.0,,17917,184.0,15359.0,81.0,303711.0,59370.0
38,31.0,Bolivia,73534,"+1,207",2808.0,88.0,22506.0,535.0,48220,71.0,6293.0,240.0,158497.0,13564.0
39,32.0,Israel,68299,,491.0,,32746.0,,35062,328.0,7426.0,53.0,1651766.0,179587.0
